id	filename	md5	size	state
09d5e102-bab3-439f-a37d-9fa5fcffafd1	09d5e102-bab3-439f-a37d-9fa5fcffafd1/dd0774b8-d75c-4fc8-9601-f24082556f12.wxs.aliquot_ensemble_masked.maf.gz	d0b5421ae5e6844214c45d2ac3f4f196	15793	validated
147131e9-a72b-4f6f-ab31-f9f098b3cd66	147131e9-a72b-4f6f-ab31-f9f098b3cd66/cba40d28-05b2-4355-825b-ff55843bffd6.wxs.aliquot_ensemble_masked.maf.gz	8105879b0434c57962a7d64291d7c34e	29117	validated
19331a61-ce44-4735-9c57-08b3c388fd79	19331a61-ce44-4735-9c57-08b3c388fd79/fab40882-c092-46d3-b692-44bf085fc90a.wxs.aliquot_ensemble_masked.maf.gz	df5993b3b709a59f2b21bf9fe40d9a29	12866	validated
193c51aa-21f7-4bda-9c40-1c0da5079811	193c51aa-21f7-4bda-9c40-1c0da5079811/092759a9-c883-4c8a-ba51-40b171b78587.wxs.aliquot_ensemble_masked.maf.gz	cf05ed48da863cbc5a736c6337803f8b	17882	validated
1aeef5e4-56e6-443e-81f8-e2ff8c98d190	1aeef5e4-56e6-443e-81f8-e2ff8c98d190/7a750125-b3d0-4689-8117-bc2911d75f6c.wxs.aliquot_ensemble_masked.maf.gz	ba661d539f98ac6cbf58e057cbdc428f	10218	validated
1d2fd250-abc7-4674-9560-77318c29a087	1d2fd250-abc7-4674-9560-77318c29a087/f94982f4-67a6-422f-8d6a-66c5e3a026db.wxs.aliquot_ensemble_masked.maf.gz	b83996b35c9b94ec236ec218b9ae37e7	41563	validated
3200b0ca-563d-4820-aa24-dd1d7d3f5e35	3200b0ca-563d-4820-aa24-dd1d7d3f5e35/4e5a63ab-1f5c-411f-b30e-ade76ab73d7f.wxs.aliquot_ensemble_masked.maf.gz	5107c8f4364fe637763258fa7c51d4a6	10614	validated
33e44387-7dc6-42c0-a551-184eeaae4e28	33e44387-7dc6-42c0-a551-184eeaae4e28/16764f1a-47e0-430b-bb77-1570fb1b7bfb.wxs.aliquot_ensemble_masked.maf.gz	237a891e93e8538aabc7ec4e19d8df19	14656	validated
3aae8a2a-2b27-4627-abc9-a2b251c32f98	3aae8a2a-2b27-4627-abc9-a2b251c32f98/d237d5b1-4810-423b-9491-28d5d0911a2f.wxs.aliquot_ensemble_masked.maf.gz	2b08a5a59b488802b7d97707fd99c281	16457	validated
3de64427-a1d8-4124-ac02-315860dc8a07	3de64427-a1d8-4124-ac02-315860dc8a07/37272a92-1ae5-4c5f-adba-1236264aaa14.wxs.aliquot_ensemble_masked.maf.gz	ff33eb6e3f3ec7d4de1f987bd9ab03c8	14859	validated
